Region,School Year,Grade Level,Students
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (ARTs & DESIGN),86.0
Region X - Northern Mindanao,2016-2017,Grade 11 (ARTs & DESIGN),136.0
Region XI - Davao Region,2016-2017,Grade 11 (ARTs & DESIGN),87.0
Region XII - Soccsksargen,2016-2017,Grade 11 (ARTs & DESIGN),163.0
CARAGA - CARAGA,2016-2017,Grade 11 (ARTs & DESIGN),24.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (ARTs & DESIGN),69.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (ARTs & DESIGN),94.0
NCR - National Capital Region,2016-2017,Grade 11 (ARTs & DESIGN),300.0
Region I - Ilocos Region,2017-2018,Grade 11 (ARTs & DESIGN),184.0
Region II - Cagayan Valley,2017-2018,Grade 11 (ARTs & DESIGN),93.0
Region III - Central Luzon,2017-2018,Grade 11 (ARTs & DESIGN),127.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (ARTs & DESIGN),173.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (ARTs & DESIGN),187.0
Region V - Bicol Region,2017-2018,Grade 11 (ARTs & DESIGN),371.0
Region VI - Western Visayas,2017-2018,Grade 11 (ARTs & DESIGN),160.0
Region VII - Central Visayas,2017-2018,Grade 11 (ARTs & DESIGN),165.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (ARTs & DESIGN),14.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (ARTs & DESIGN),78.0
Region X - Northern Mindanao,2017-2018,Grade 11 (ARTs & DESIGN),181.0
Region XI - Davao Region,2017-2018,Grade 11 (ARTs & DESIGN),108.0
Region XII - Soccsksargen,2017-2018,Grade 11 (ARTs & DESIGN),173.0
CARAGA - CARAGA,2017-2018,Grade 11 (ARTs & DESIGN),42.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (ARTs & DESIGN),53.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (ARTs & DESIGN),61.0
NCR - National Capital Region,2017-2018,Grade 11 (ARTs & DESIGN),321.0
Region I - Ilocos Region,2018-2019,Grade 11 (ARTs & DESIGN),196.0
Region II - Cagayan Valley,2018-2019,Grade 11 (ARTs & DESIGN),163.0
Region III - Central Luzon,2018-2019,Grade 11 (ARTs & DESIGN),114.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (ARTs & DESIGN),400.0
