Region,School Year,Grade Level,Students
Region XII - Soccsksargen,2016-2017,Grade 1,98443.0
CARAGA - CARAGA,2016-2017,Grade 1,63710.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 1,107050.0
CAR - Cordillera Administrative Region,2016-2017,Grade 1,31130.0
NCR - National Capital Region,2016-2017,Grade 1,174426.0
Region I - Ilocos Region,2017-2018,Grade 1,78156.0
Region II - Cagayan Valley,2017-2018,Grade 1,58481.0
Region III - Central Luzon,2017-2018,Grade 1,176765.0
Region IV-A - CALABARZON,2017-2018,Grade 1,220238.0
Region IV-B - MIMAROPA,2017-2018,Grade 1,63558.0
Region V - Bicol Region,2017-2018,Grade 1,124497.0
Region VI - Western Visayas,2017-2018,Grade 1,123705.0
Region VII - Central Visayas,2017-2018,Grade 1,124385.0
Region VIII - Eastern Visayas,2017-2018,Grade 1,89537.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 1,75289.0
Region X - Northern Mindanao,2017-2018,Grade 1,94178.0
Region XI - Davao Region,2017-2018,Grade 1,85003.0
Region XII - Soccsksargen,2017-2018,Grade 1,85476.0
CARAGA - CARAGA,2017-2018,Grade 1,55039.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 1,94048.0
CAR - Cordillera Administrative Region,2017-2018,Grade 1,27126.0
NCR - National Capital Region,2017-2018,Grade 1,157898.0
Region I - Ilocos Region,2018-2019,Grade 1,96620.0
Region II - Cagayan Valley,2018-2019,Grade 1,73176.0
Region III - Central Luzon,2018-2019,Grade 1,220365.0
Region IV-A - CALABARZON,2018-2019,Grade 1,280105.0
Region IV-B - MIMAROPA,2018-2019,Grade 1,75817.0
Region V - Bicol Region,2018-2019,Grade 1,149116.0
Region VI - Western Visayas,2018-2019,Grade 1,160325.0
Region VII - Central Visayas,2018-2019,Grade 1,162818.0
Region VIII - Eastern Visayas,2018-2019,Grade 1,106062.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 1,89910.0
Region X - Northern Mindanao,2018-2019,Grade 1,108865.0
Region XI - Davao Region,2018-2019,Grade 1,110576.0
Region XII - Soccsksargen,2018-2019,Grade 1,105352.0
CARAGA - CARAGA,2018-2019,Grade 1,64549.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 1,93723.0
CAR - Cordillera Administrative Region,2018-2019,Grade 1,31834.0
NCR - National Capital Region,2018-2019,Grade 1,186689.0
Region I - Ilocos Region,2019-2020,Grade 1,102181.0
Region II - Cagayan Valley,2019-2020,Grade 1,78666.0
Region III - Central Luzon,2019-2020,Grade 1,235219.0
Region IV-A - CALABARZON,2019-2020,Grade 1,296299.0
Region IV-B - MIMAROPA,2019-2020,Grade 1,79994.0
Region V - Bicol Region,2019-2020,Grade 1,150668.0
Region VI - Western Visayas,2019-2020,Grade 1,164161.0
Region VII - Central Visayas,2019-2020,Grade 1,165040.0
Region VIII - Eastern Visayas,2019-2020,Grade 1,109065.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 1,92400.0
Region X - Northern Mindanao,2019-2020,Grade 1,116930.0
Region XI - Davao Region,2019-2020,Grade 1,112785.0
Region XII - Soccsksargen,2019-2020,Grade 1,110945.0
CARAGA - CARAGA,2019-2020,Grade 1,69238.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 1,97058.0
CAR - Cordillera Administrative Region,2019-2020,Grade 1,34444.0
NCR - National Capital Region,2019-2020,Grade 1,191673.0
Region I - Ilocos Region,2020-2021,Grade 1,81564.0
Region II - Cagayan Valley,2020-2021,Grade 1,62155.0
Region III - Central Luzon,2020-2021,Grade 1,194829.0
Region IV-A - CALABARZON,2020-2021,Grade 1,253351.0
Region IV-B - MIMAROPA,2020-2021,Grade 1,69440.0
Region V - Bicol Region,2020-2021,Grade 1,133048.0
Region VI - Western Visayas,2020-2021,Grade 1,139661.0
Region VII - Central Visayas,2020-2021,Grade 1,146880.0
Region VIII - Eastern Visayas,2020-2021,Grade 1,93679.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 1,84268.0
Region X - Northern Mindanao,2020-2021,Grade 1,102570.0
Region XI - Davao Region,2020-2021,Grade 1,97569.0
Region XII - Soccsksargen,2020-2021,Grade 1,96596.0
CARAGA - CARAGA,2020-2021,Grade 1,59573.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 1,92456.0
CAR - Cordillera Administrative Region,2020-2021,Grade 1,28883.0
NCR - National Capital Region,2020-2021,Grade 1,174573.0
