Region,School Year,Grade Level,Students
CAR - Cordillera Administrative Region,2011-2012,Grade 8,22394.0
NCR - National Capital Region,2011-2012,Grade 8,178549.0
Region I - Ilocos Region,2012-2013,Grade 8,77773.0
Region II - Cagayan Valley,2012-2013,Grade 8,49269.0
Region III - Central Luzon,2012-2013,Grade 8,156920.0
Region IV-A - CALABARZON,2012-2013,Grade 8,192644.0
Region IV-B - MIMAROPA,2012-2013,Grade 8,51307.0
Region V - Bicol Region,2012-2013,Grade 8,105990.0
Region VI - Western Visayas,2012-2013,Grade 8,123559.0
Region VII - Central Visayas,2012-2013,Grade 8,111785.0
Region VIII - Eastern Visayas,2012-2013,Grade 8,79563.0
Region IX - Zamboanga Peninsula,2012-2013,Grade 8,55734.0
Region X - Northern Mindanao,2012-2013,Grade 8,61115.0
Region XI - Davao Region,2012-2013,Grade 8,67246.0
Region XII - Soccsksargen,2012-2013,Grade 8,61570.0
CARAGA - CARAGA,2012-2013,Grade 8,42090.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2012-2013,Grade 8,42951.0
CAR - Cordillera Administrative Region,2012-2013,Grade 8,22618.0
NCR - National Capital Region,2012-2013,Grade 8,174440.0
Region I - Ilocos Region,2013-2014,Grade 8,81099.0
Region II - Cagayan Valley,2013-2014,Grade 8,50284.0
Region III - Central Luzon,2013-2014,Grade 8,165830.0
Region IV-A - CALABARZON,2013-2014,Grade 8,195448.0
Region IV-B - MIMAROPA,2013-2014,Grade 8,52386.0
Region V - Bicol Region,2013-2014,Grade 8,108945.0
Region VI - Western Visayas,2013-2014,Grade 8,126055.0
Region VII - Central Visayas,2013-2014,Grade 8,117171.0
Region VIII - Eastern Visayas,2013-2014,Grade 8,82827.0
Region IX - Zamboanga Peninsula,2013-2014,Grade 8,54723.0
Region X - Northern Mindanao,2013-2014,Grade 8,62109.0
Region XI - Davao Region,2013-2014,Grade 8,67646.0
Region XII - Soccsksargen,2013-2014,Grade 8,62925.0
CARAGA - CARAGA,2013-2014,Grade 8,43281.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2013-2014,Grade 8,43305.0
CAR - Cordillera Administrative Region,2013-2014,Grade 8,23676.0
NCR - National Capital Region,2013-2014,Grade 8,181757.0
Region I - Ilocos Region,2014-2015,Grade 8,82858.0
Region II - Cagayan Valley,2014-2015,Grade 8,51478.0
Region III - Central Luzon,2014-2015,Grade 8,169939.0
Region IV-A - CALABARZON,2014-2015,Grade 8,203856.0
Region IV-B - MIMAROPA,2014-2015,Grade 8,53914.0
Region V - Bicol Region,2014-2015,Grade 8,112533.0
Region VI - Western Visayas,2014-2015,Grade 8,127830.0
Region VII - Central Visayas,2014-2015,Grade 8,121390.0
Region VIII - Eastern Visayas,2014-2015,Grade 8,84255.0
Region IX - Zamboanga Peninsula,2014-2015,Grade 8,57966.0
Region X - Northern Mindanao,2014-2015,Grade 8,64835.0
Region XI - Davao Region,2014-2015,Grade 8,72386.0
Region XII - Soccsksargen,2014-2015,Grade 8,68312.0
CARAGA - CARAGA,2014-2015,Grade 8,46426.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2014-2015,Grade 8,39747.0
CAR - Cordillera Administrative Region,2014-2015,Grade 8,24364.0
NCR - National Capital Region,2014-2015,Grade 8,179998.0
Region I - Ilocos Region,2015-2016,Grade 8,81038.0
Region II - Cagayan Valley,2015-2016,Grade 8,52449.0
Region III - Central Luzon,2015-2016,Grade 8,169660.0
Region IV-A - CALABARZON,2015-2016,Grade 8,208808.0
Region IV-B - MIMAROPA,2015-2016,Grade 8,56119.0
Region V - Bicol Region,2015-2016,Grade 8,116400.0
Region VI - Western Visayas,2015-2016,Grade 8,127433.0
Region VII - Central Visayas,2015-2016,Grade 8,123074.0
Region VIII - Eastern Visayas,2015-2016,Grade 8,86530.0
Region IX - Zamboanga Peninsula,2015-2016,Grade 8,60954.0
Region X - Northern Mindanao,2015-2016,Grade 8,67539.0
Region XI - Davao Region,2015-2016,Grade 8,76576.0
Region XII - Soccsksargen,2015-2016,Grade 8,70873.0
CARAGA - CARAGA,2015-2016,Grade 8,47756.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2015-2016,Grade 8,37113.0
CAR - Cordillera Administrative Region,2015-2016,Grade 8,24492.0
NCR - National Capital Region,2015-2016,Grade 8,174511.0
Region I - Ilocos Region,2016-2017,Grade 8,83558.0
Region II - Cagayan Valley,2016-2017,Grade 8,53834.0
Region III - Central Luzon,2016-2017,Grade 8,172094.0
Region IV-A - CALABARZON,2016-2017,Grade 8,211882.0
Region IV-B - MIMAROPA,2016-2017,Grade 8,56998.0
Region V - Bicol Region,2016-2017,Grade 8,119331.0
Region VI - Western Visayas,2016-2017,Grade 8,132397.0
Region VII - Central Visayas,2016-2017,Grade 8,126324.0
Region VIII - Eastern Visayas,2016-2017,Grade 8,88532.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 8,63440.0
Region X - Northern Mindanao,2016-2017,Grade 8,68471.0
Region XI - Davao Region,2016-2017,Grade 8,79356.0
Region XII - Soccsksargen,2016-2017,Grade 8,71886.0
CARAGA - CARAGA,2016-2017,Grade 8,48674.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 8,35758.0
CAR - Cordillera Administrative Region,2016-2017,Grade 8,24656.0
NCR - National Capital Region,2016-2017,Grade 8,172647.0
Region I - Ilocos Region,2017-2018,Grade 8,86456.0
Region II - Cagayan Valley,2017-2018,Grade 8,54665.0
Region III - Central Luzon,2017-2018,Grade 8,176377.0
Region IV-A - CALABARZON,2017-2018,Grade 8,218067.0
Region IV-B - MIMAROPA,2017-2018,Grade 8,58932.0
Region V - Bicol Region,2017-2018,Grade 8,126483.0
Region VI - Western Visayas,2017-2018,Grade 8,134916.0
Region VII - Central Visayas,2017-2018,Grade 8,131485.0
Region VIII - Eastern Visayas,2017-2018,Grade 8,92415.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 8,68138.0
Region X - Northern Mindanao,2017-2018,Grade 8,73248.0
Region XI - Davao Region,2017-2018,Grade 8,86129.0
Region XII - Soccsksargen,2017-2018,Grade 8,75624.0
CARAGA - CARAGA,2017-2018,Grade 8,51799.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 8,36189.0
CAR - Cordillera Administrative Region,2017-2018,Grade 8,25432.0
NCR - National Capital Region,2017-2018,Grade 8,174025.0
Region I - Ilocos Region,2018-2019,Grade 8,90253.0
Region II - Cagayan Valley,2018-2019,Grade 8,58675.0
Region III - Central Luzon,2018-2019,Grade 8,184352.0
Region IV-A - CALABARZON,2018-2019,Grade 8,236711.0
Region IV-B - MIMAROPA,2018-2019,Grade 8,64034.0
Region V - Bicol Region,2018-2019,Grade 8,137243.0
Region VI - Western Visayas,2018-2019,Grade 8,149902.0
Region VII - Central Visayas,2018-2019,Grade 8,142368.0
Region VIII - Eastern Visayas,2018-2019,Grade 8,98280.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 8,76682.0
Region X - Northern Mindanao,2018-2019,Grade 8,83872.0
Region XI - Davao Region,2018-2019,Grade 8,95221.0
Region XII - Soccsksargen,2018-2019,Grade 8,85037.0
CARAGA - CARAGA,2018-2019,Grade 8,56425.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 8,38493.0
CAR - Cordillera Administrative Region,2018-2019,Grade 8,26444.0
NCR - National Capital Region,2018-2019,Grade 8,181557.0
Region I - Ilocos Region,2019-2020,Grade 8,93218.0
Region II - Cagayan Valley,2019-2020,Grade 8,62960.0
Region III - Central Luzon,2019-2020,Grade 8,194024.0
Region IV-A - CALABARZON,2019-2020,Grade 8,254883.0
Region IV-B - MIMAROPA,2019-2020,Grade 8,66434.0
Region V - Bicol Region,2019-2020,Grade 8,144755.0
Region VI - Western Visayas,2019-2020,Grade 8,167595.0
Region VII - Central Visayas,2019-2020,Grade 8,157449.0
Region VIII - Eastern Visayas,2019-2020,Grade 8,99889.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 8,84702.0
Region X - Northern Mindanao,2019-2020,Grade 8,89854.0
Region XI - Davao Region,2019-2020,Grade 8,103482.0
Region XII - Soccsksargen,2019-2020,Grade 8,91563.0
CARAGA - CARAGA,2019-2020,Grade 8,57766.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 8,41993.0
CAR - Cordillera Administrative Region,2019-2020,Grade 8,27876.0
NCR - National Capital Region,2019-2020,Grade 8,183797.0
Region I - Ilocos Region,2020-2021,Grade 8,92384.0
Region II - Cagayan Valley,2020-2021,Grade 8,63345.0
Region III - Central Luzon,2020-2021,Grade 8,192244.0
Region IV-A - CALABARZON,2020-2021,Grade 8,243509.0
Region IV-B - MIMAROPA,2020-2021,Grade 8,61488.0
Region V - Bicol Region,2020-2021,Grade 8,117412.0
Region VI - Western Visayas,2020-2021,Grade 8,156061.0
Region VII - Central Visayas,2020-2021,Grade 8,136900.0
Region VIII - Eastern Visayas,2020-2021,Grade 8,95531.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 8,78463.0
Region X - Northern Mindanao,2020-2021,Grade 8,85504.0
Region XI - Davao Region,2020-2021,Grade 8,94063.0
Region XII - Soccsksargen,2020-2021,Grade 8,88169.0
CARAGA - CARAGA,2020-2021,Grade 8,55327.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 8,40888.0
CAR - Cordillera Administrative Region,2020-2021,Grade 8,26923.0
NCR - National Capital Region,2020-2021,Grade 8,176095.0
Region I - Ilocos Region,2010-2011,Grade 9,73506.0
Region II - Cagayan Valley,2010-2011,Grade 9,47089.0
Region III - Central Luzon,2010-2011,Grade 9,137746.0
Region IV-A - CALABARZON,2010-2011,Grade 9,165552.0
Region IV-B - MIMAROPA,2010-2011,Grade 9,43540.0
Region V - Bicol Region,2010-2011,Grade 9,88874.0
Region VI - Western Visayas,2010-2011,Grade 9,113441.0
Region VII - Central Visayas,2010-2011,Grade 9,95478.0
Region VIII - Eastern Visayas,2010-2011,Grade 9,66295.0
Region IX - Zamboanga Peninsula,2010-2011,Grade 9,48602.0
Region X - Northern Mindanao,2010-2011,Grade 9,53225.0
Region XI - Davao Region,2010-2011,Grade 9,56253.0
Region XII - Soccsksargen,2010-2011,Grade 9,53575.0
CARAGA - CARAGA,2010-2011,Grade 9,36508.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2010-2011,Grade 9,41620.0
CAR - Cordillera Administrative Region,2010-2011,Grade 9,20700.0
NCR - National Capital Region,2010-2011,Grade 9,160444.0
Region I - Ilocos Region,2011-2012,Grade 9,72770.0
Region II - Cagayan Valley,2011-2012,Grade 9,47758.0
Region III - Central Luzon,2011-2012,Grade 9,141049.0
Region IV-A - CALABARZON,2011-2012,Grade 9,171268.0
Region IV-B - MIMAROPA,2011-2012,Grade 9,43696.0
Region V - Bicol Region,2011-2012,Grade 9,88728.0
Region VI - Western Visayas,2011-2012,Grade 9,111816.0
Region VII - Central Visayas,2011-2012,Grade 9,96049.0
Region VIII - Eastern Visayas,2011-2012,Grade 9,66649.0
Region IX - Zamboanga Peninsula,2011-2012,Grade 9,49412.0
Region X - Northern Mindanao,2011-2012,Grade 9,53113.0
Region XI - Davao Region,2011-2012,Grade 9,56742.0
Region XII - Soccsksargen,2011-2012,Grade 9,54951.0
CARAGA - CARAGA,2011-2012,Grade 9,38046.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2011-2012,Grade 9,40951.0
CAR - Cordillera Administrative Region,2011-2012,Grade 9,20443.0
NCR - National Capital Region,2011-2012,Grade 9,162535.0
Region I - Ilocos Region,2012-2013,Grade 9,73547.0
Region II - Cagayan Valley,2012-2013,Grade 9,47040.0
Region III - Central Luzon,2012-2013,Grade 9,143055.0
Region IV-A - CALABARZON,2012-2013,Grade 9,177115.0
Region IV-B - MIMAROPA,2012-2013,Grade 9,46327.0
Region V - Bicol Region,2012-2013,Grade 9,91357.0
Region VI - Western Visayas,2012-2013,Grade 9,110795.0
Region VII - Central Visayas,2012-2013,Grade 9,99053.0
Region VIII - Eastern Visayas,2012-2013,Grade 9,69405.0
Region IX - Zamboanga Peninsula,2012-2013,Grade 9,49132.0
Region X - Northern Mindanao,2012-2013,Grade 9,54223.0
Region XI - Davao Region,2012-2013,Grade 9,57500.0
Region XII - Soccsksargen,2012-2013,Grade 9,54678.0
CARAGA - CARAGA,2012-2013,Grade 9,37434.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2012-2013,Grade 9,37776.0
CAR - Cordillera Administrative Region,2012-2013,Grade 9,20657.0
NCR - National Capital Region,2012-2013,Grade 9,164856.0
Region I - Ilocos Region,2013-2014,Grade 9,73996.0
Region II - Cagayan Valley,2013-2014,Grade 9,46607.0
Region III - Central Luzon,2013-2014,Grade 9,147978.0
Region IV-A - CALABARZON,2013-2014,Grade 9,176917.0
Region IV-B - MIMAROPA,2013-2014,Grade 9,47153.0
Region V - Bicol Region,2013-2014,Grade 9,97870.0
Region VI - Western Visayas,2013-2014,Grade 9,114496.0
Region VII - Central Visayas,2013-2014,Grade 9,102469.0
